"","DA","statistic","p.value","n","asymm"
"CLV",0,370,0.59523356801914,41,0
"MC1",2.98507462686567,274,0.693699849173835,37,0
"MC2",3.36923501795085,190,0.0669354544783874,38,0
"MC3",3.99999999999999,128.5,0.00394201803243947,39,1
"MC4",3.77358490566038,107.5,0.0301695864743778,37,0
"MC5",4.72521828454032,116,0.0485330387102521,36,0
"PTL",2.42914979757086,226,0.482980481247257,33,0
"CLCN",1.69204737732657,415,0.171898032773902,47,0
"TLS",2.42914979757086,426,0.0415909961924103,51,0
"CBD",0,497,0.391675270714713,49,0
"NVC",2.29885057471266,365.5,0.284612502397213,47,0
"CNF1",2.5974025974026,383.5,0.19448498584874,47,0
"CNF2",3.50877192982456,250.5,0.292900273531403,45,0
"CNF3",0,373.5,0.971026662716532,46,0
"MT1",0.662251655629137,352.5,0.217905517573511,46,0
"MT2",0.564971751412427,393.5,0.339793233035366,48,0
"MT3",-1.05263157894736,515.5,0.815307285438617,48,0
"MT4",3.7357315807679,250,0.0195546804128276,44,0
"MT5",0,257,0.903201915507388,39,0
