"","FMR","PTL","CLCN","TLS","CBD","NVC","CNF1","CNF2","CNF3","MT1","MT2","MT3","MT4","MT5","TOTAL.MASS"
"FMR",NA,0.902,0.876,0.883,0.843,0.812,0.855,0.758,0.839,0.85,0.794,0.774,0.815,0.794,0.939
"PTL",0,NA,0.899,0.869,0.841,0.802,0.809,0.655,0.817,0.809,0.767,0.742,0.814,0.803,0.873
"CLCN",0,0,NA,0.96,0.929,0.913,0.875,0.817,0.883,0.866,0.872,0.874,0.863,0.897,0.881
"TLS",0,0,0,NA,0.949,0.939,0.92,0.872,0.929,0.886,0.88,0.856,0.855,0.86,0.883
"CBD",0,0,0,0,NA,0.902,0.889,0.854,0.93,0.862,0.864,0.866,0.86,0.891,0.86
"NVC",0,0,0,0,0,NA,0.927,0.879,0.893,0.841,0.881,0.847,0.829,0.84,0.817
"CNF1",0,0,0,0,0,0,NA,0.859,0.888,0.906,0.883,0.846,0.855,0.85,0.849
"CNF2",0,0,0,0,0,0,0,NA,0.895,0.795,0.889,0.862,0.802,0.782,0.771
"CNF3",0,0,0,0,0,0,0,0,NA,0.832,0.89,0.863,0.825,0.828,0.828
"MT1",0,0,0,0,0,0,0,0,0,NA,0.846,0.89,0.912,0.875,0.837
"MT2",0,0,0,0,0,0,0,0,0,0,NA,0.92,0.869,0.849,0.809
"MT3",0,0,0,0,0,0,0,0,0,0,0,NA,0.924,0.886,0.782
"MT4",0,0,0,0,0,0,0,0,0,0,0,0,NA,0.918,0.824
"MT5",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.809
"TOTAL.MASS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
